feature,importance
meta_target_7_1_vs_target_9_3,0.22747863115230596
meta_target_9_4_vs_target_6_2,0.2254215222042281
num_feature_433,0.22046203334108988
meta_target_2_4_vs_target_2_2,0.217982829641807
meta_target_3_1_vs_target_9_1,0.2178860791367519
meta_target_1_4_vs_target_9_8,0.2178680286434587
meta_target_1_5_vs_target_7_1,0.21648210862823125
meta_target_8_1_vs_target_10_1,0.21585691143266955
meta_target_8_2_vs_target_6_3,0.2144607038155174
num_feature_24,0.2135797233501373
meta_target_5_2_vs_target_3_2,0.21258276060147493
num_feature_1226,0.2117620260702347
meta_target_2_6_vs_target_7_3,0.20991514529688238
meta_target_8_3_vs_target_10_1,0.20908263094555576
num_feature_367,0.20815829076778541
freq_cat_feature_66_x_cat_feature_48,0.20644839334569365
meta_target_7_2_vs_target_3_2,0.2042217415110602
meta_target_8_2_vs_target_1_2,0.2026951185362289
meta_target_2_4_vs_target_9_7,0.2023868939832262
num_feature_1484,0.19904280010814773
meta_target_7_2_vs_target_7_3,0.19878914068671374
ratio_27_79,0.19400272921023132
num_feature_822,0.19188468189362776
meta_target_6_3_vs_target_9_3,0.19006120779065883
meta_target_2_1_vs_target_9_1,0.18725686397277286
meta_target_1_1_vs_target_6_4,0.18695505839535864
row_nonnull_count,0.18694379159378363
meta_target_7_2_vs_target_1_4,0.1861584297741259
meta_target_4_1_vs_target_5_1,0.18551083398560442
meta_target_9_1_vs_target_9_3,0.1852549147413149
num_feature_17,0.184952825471011
meta_target_2_5_vs_target_1_4,0.18347003591825756
meta_target_5_2_vs_target_8_1,0.18333822389146195
num_feature_961,0.18316403378995244
meta_target_9_1_vs_target_8_3,0.17810595464641116
meta_target_4_1_vs_target_8_3,0.1751514960274639
meta_target_2_1_vs_target_3_1,0.17365488716023827
meta_target_4_1_vs_target_3_1,0.1736218845768847
meta_target_10_1_vs_target_3_2,0.17292460619748942
num_feature_925,0.17239602735719362
num_feature_895,0.17135569347418633
meta_target_8_3_vs_target_9_1,0.17080969733282653
meta_target_9_4_vs_target_7_1,0.1692636283895772
num_feature_1334,0.1686410235609771
meta_target_3_4_vs_target_3_2,0.1677660647403393
meta_target_6_3_vs_target_3_2,0.16689818970319145
meta_target_3_3_vs_target_6_4,0.1668001328688461
num_feature_69,0.16644576595526356
meta_target_8_2_vs_target_2_5,0.16563283236145157
null_pca_9,0.16558995861596482
meta_target_6_5_vs_target_9_2,0.1647764711597877
meta_target_10_1_vs_target_8_1,0.1640043278798234
num_feature_35,0.1632795409323074
meta_target_1_1_vs_target_8_2,0.1629896007254746
meta_target_3_1_vs_target_10_1,0.1606406139778016
ratio_62_86,0.1605178515705808
meta_target_8_2_vs_target_1_1,0.15839945895150487
meta_target_9_3_vs_target_7_1,0.15756047827757308
num_feature_320,0.1557600976272195
meta_target_9_7_vs_target_10_1,0.15572038658700696
meta_target_6_5_vs_target_2_3,0.15524016882532785
num_feature_61,0.1551755215261544
meta_target_8_3_vs_target_7_3,0.15276791352957417
freq_cat_feature_66_x_cat_feature_39,0.15232757727403567
meta_target_1_1_vs_target_1_4,0.1522593796572202
meta_target_8_2_vs_target_9_3,0.1506530367712277
meta_target_6_1_vs_target_3_2,0.1498793833990218
null_pca_1,0.14883597863114853
is_null_num_feature_29,0.14840938886661798
meta_target_9_5_vs_target_9_6,0.14807924158893404
ratio_62_79,0.14793517708968398
num_feature_76,0.14779755577244008
meta_target_9_3_vs_target_9_1,0.1473668025263698
meta_target_6_4_vs_target_6_1,0.14614447956380933
meta_target_9_8_vs_target_9_2,0.14501929975156097
meta_target_8_3_vs_target_5_2,0.14395568156806676
meta_target_1_4_vs_target_9_2,0.14245667038013027
meta_target_2_1_vs_target_1_4,0.14223385826408516
meta_target_8_3_vs_target_2_4,0.14113927576440152
diff_33_minus_132,0.14058105217397002
freq_cat_feature_66_x_cat_feature_52,0.14000867925091878
